Age,Gender,"Location (country, city)","Educational level (e.g., undergraduate, graduate)","Stream(MEDIICAL,ENGINEERING,DESIGNING,etc.)",Reading frequency ,Average Reading Duration (minutes),"Types of content (e.g., textbooks, research papers, fiction, technical articles)","Reading preferences (e-books, PDFs, web articles)"
47,Female,Agartala,Professional Level,Mechanical Engineering,DAILY,90,Technical Articles,
33,Female,Bhilwara,Master's Level,Chemical Engineering,WEEKLY,30,Textbooks,
43,Female,Udaipur,Professional Level,Electrical Engineering,DAILY,60,Technical Articles,
24,Female,Korba,Undergraduate/Graduate Level,Medicine,MONTHLY,45,Research Papers,
53,Female,Nalgonda,Professional Level,Software Engineering,WEEKLY,15,Textbooks,
21,Male,Navi Mumbai,Undergraduate/Graduate Level,Civil Engineering,DAILY,30,Technical Articles,
46,Male,Bhiwandi,Professional Level,Computer Science/Engineering,MONTHLY,60,Research Papers,
30,Female,Amravati,Master's Level,Nursing,DAILY,90,Technical Articles,
58,Female,Gandhinagar,Professional Level,Mechanical Engineering,WEEKLY,15,Textbooks,
35,Female,Dhanbad,Professional Level,Legal Studies,MONTHLY,30,Research Papers,
52,Female,Bhavnagar,Professional Level,Electrical Engineering,DAILY,45,Technical Articles,
31,Male,Bikaner,Master's Level,Civil Engineering,WEEKLY,60,Fiction Novels,
56,Female,Ambala,Professional Level,Architecture,DAILY,15,Textbooks,
20,Female,Deoghar,Undergraduate/Graduate Level,Chemical Engineering,MONTHLY,90,Technical Articles,
44,Male,Bellary,Professional Level,Computer Science/Engineering,DAILY,30,News Articles,
54,Male,Sultan Pur Majra,Professional Level,Medicine,MONTHLY,45,Textbooks,
29,Female,Tiruppur,Master's Level,Software Engineering,WEEKLY,60,Research Papers,
51,Male,Durgapur,Professional Level,Mechanical Engineering,DAILY,15,Technical Articles,
39,Female,Anantapur,Professional Level,Electrical Engineering,WEEKLY,45,Blogs,
37,Male,Udham Singh Nagar,Professional Level,Legal Studies,DAILY,30,Textbooks,
22,Male,Chandrapur,Undergraduate/Graduate Level,Civil Engineering,DAILY,60,Technical Articles,
26,Male,Vellore,Master's Level,Nursing,WEEKLY,45,Textbooks,
55,Female,Dindigul,Professional Level,Chemical Engineering,MONTHLY,15,Technical Articles,
32,Male,Kancheepuram,Master's Level,Mechanical Engineering,DAILY,90,Research Papers,
41,Male,Gandhidham,Professional Level,Computer Science/Engineering,MONTHLY,30,Textbooks,
38,Female,Hospet,Professional Level,Medicine,DAILY,60,Technical Articles,
33,Female,Nagercoil,Master's Level,Software Engineering,WEEKLY,45,Research Papers,
58,Female,Karimnagar,Professional Level,Civil Engineering,DAILY,15,Technical Articles,
49,Female,Thanjavur,Professional Level,Electrical Engineering,MONTHLY,30,Textbooks,
25,Female,Pallavaram,Master's Level,Legal Studies,WEEKLY,60,Research Papers,
42,Female,Chittoor,Professional Level,Architecture,MONTHLY,45,Technical Articles,
47,Female,Kumbakonam,Professional Level,Computer Science/Engineering,DAILY,90,Research Papers,
23,Female,Sambalpur,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,15,Textbooks,
50,Female,Katihar,Professional Level,Chemical Engineering,WEEKLY,30,Research Papers,
27,Female,Bardhaman,Master's Level,Civil Engineering,MONTHLY,60,Technical Articles,
48,Female,Munger,Professional Level,Medicine,WEEKLY,45,Textbooks,
36,Male,Purnia,Professional Level,Software Engineering,DAILY,90,Technical Articles,
45,Male,Hapur,Professional Level,Electrical Engineering,MONTHLY,15,Research Papers,
19,Male,Bhagalpur,Undergraduate/Graduate Level,Legal Studies,WEEKLY,30,Technical Articles,
54,Female,Karnal,Professional Level,Mechanical Engineering,DAILY,60,Textbooks,
34,Female,Saharanpur,Master's Level,Computer Science/Engineering,MONTHLY,45,Research Papers,
21,Female,Shimla,Undergraduate/Graduate Level,Civil Engineering,WEEKLY,60,Technical Articles,
57,Female,Alwar,Professional Level,Nursing,DAILY,15,Fiction Novels,
52,Female,Muzaffarpur,Professional Level,Chemical Engineering,WEEKLY,30,Textbooks,
28,Female,Mathura,Master's Level,Chemical Engineering,DAILY,90,Technical Articles,
31,Female,Rajpur Sonarpur,Master's Level,Civil Engineering,MONTHLY,45,News Articles,
43,Female,Kamarhati,Professional Level,Computer Science/Engineering,WEEKLY,60,Textbooks,
30,Female,Avadi,Master's Level,Legal Studies,DAILY,30,Research Papers,
56,Female,Tumkur,Professional Level,Mechanical Engineering,MONTHLY,15,Technical Articles,
24,Male,Noida,Undergraduate/Graduate Level,Software Engineering,WEEKLY,45,Blogs,
53,Female,Kakinada,Professional Level,Electrical Engineering,DAILY,60,Textbooks,
39,Female,Nizamabad,Professional Level,Medicine,WEEKLY,30,Technical Articles,
55,Female,Parbhani,Professional Level,Mechanical Engineering,MONTHLY,90,Textbooks,
22,Female,Latur,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,15,Technical Articles,
50,Male,Ratlam,Professional Level,Architecture,WEEKLY,45,Research Papers,
38,Female,Panipat,Professional Level,Civil Engineering,DAILY,60,Textbooks,
46,Female,Gandhinagar,Professional Level,Electrical Engineering,MONTHLY,30,Technical Articles,
35,Female,Bathinda,Professional Level,Interior Design,DAILY,60,Research Papers,
25,Female,Yamunanagar,Master's Level,Software Engineering,MONTHLY,45,Technical Articles,
41,Female,Pali,Professional Level,Nursing,WEEKLY,15,Textbooks,
27,Female,Rewa,Master's Level,Chemical Engineering,DAILY,30,Research Papers,
44,Female,Mathura,Professional Level,Electrical Engineering,WEEKLY,60,Technical Articles,
32,Female,Palakkad,Master's Level,Mechanical Engineering,MONTHLY,45,Research Papers,
37,Female,Satara,Professional Level,Medicine,DAILY,90,Textbooks,
47,Female,Bijapur,Professional Level,Legal Studies,WEEKLY,15,Research Papers,
29,Male,Kapurthala,Master's Level,Civil Engineering,MONTHLY,30,Technical Articles,
51,Female,Bharatpur,Professional Level,Software Engineering,DAILY,60,Textbooks,
26,Male,Hoshiarpur,Master's Level,Computer Science/Engineering,DAILY,45,Technical Articles,
45,Female,Bilaspur,Professional Level,Mechanical Engineering,WEEKLY,15,Research Papers,
34,Female,Aligarh,Master's Level,Electrical Engineering,MONTHLY,30,Technical Articles,
54,Male,Raichur,Professional Level,Chemical Engineering,WEEKLY,60,Textbooks,
40,Male,Agartala,Professional Level,Civil Engineering,DAILY,45,Research Papers,
20,Female,Bhilwara,Undergraduate/Graduate Level,Computer Science/Engineering,MONTHLY,90,Technical Articles,
28,Male,Udaipur,Master's Level,Legal Studies,WEEKLY,60,Textbooks,
48,Female,Korba,Professional Level,Mechanical Engineering,DAILY,30,Technical Articles,
31,Male,Nalgonda,Master's Level,Software Engineering,WEEKLY,45,Research Papers,
52,Female,Navi Mumbai,Professional Level,Medicine,MONTHLY,15,Fiction Novels,
21,Female,Bhiwandi,Undergraduate/Graduate Level,Electrical Engineering,DAILY,60,Textbooks,
49,Male,Amravati,Professional Level,Civil Engineering,MONTHLY,45,Technical Articles,
58,Male,Gandhinagar,Professional Level,Nursing,DAILY,30,News Articles,
23,Female,Dhanbad,Undergraduate/Graduate Level,Chemical Engineering,WEEKLY,60,Textbooks,
57,Male,Bhavnagar,Professional Level,Architecture,MONTHLY,45,Research Papers,
42,Female,Bikaner,Professional Level,Mechanical Engineering,WEEKLY,15,Technical Articles,
30,Female,Ambala,Master's Level,Computer Science/Engineering,DAILY,90,Blogs,
55,Male,Deoghar,Professional Level,Electrical Engineering,DAILY,30,Textbooks,
33,Male,Bellary,Master's Level,Legal Studies,WEEKLY,60,Technical Articles,
36,Female,Sultan Pur Majra,Professional Level,Software Engineering,MONTHLY,45,Textbooks,
53,Male,Tiruppur,Professional Level,Civil Engineering,MONTHLY,15,Technical Articles,
24,Female,Durgapur,Undergraduate/Graduate Level,Chemical Engineering,DAILY,30,Research Papers,
46,Male,Anantapur,Professional Level,Medicine,WEEKLY,60,Textbooks,
39,Female,Udham Singh Nagar,Professional Level,Mechanical Engineering,DAILY,45,Technical Articles,
35,Male,Chandrapur,Professional Level,Electrical Engineering,WEEKLY,90,Research Papers,
56,Female,Vellore,Professional Level,Computer Science/Engineering,MONTHLY,60,Technical Articles,
25,Male,Dindigul,Master's Level,Interior Design,DAILY,30,Textbooks,
51,Female,Kancheepuram,Professional Level,Civil Engineering,WEEKLY,45,Research Papers,
26,Male,Gandhidham,Master's Level,Legal Studies,DAILY,15,Technical Articles,
41,Female,Hospet,Professional Level,Chemical Engineering,MONTHLY,60,Research Papers,
22,Female,Nagercoil,Undergraduate/Graduate Level,Software Engineering,WEEKLY,45,Textbooks,
37,Male,Karimnagar,Professional Level,Mechanical Engineering,DAILY,30,Research Papers,
50,Male,Thanjavur,Professional Level,Electrical Engineering,MONTHLY,60,Technical Articles,
34,Female,Pallavaram,Master's Level,Medicine,DAILY,15,Textbooks,
38,Male,Chittoor,Professional Level,Civil Engineering,WEEKLY,30,Technical Articles,
57,Female,Kumbakonam,Professional Level,Computer Science/Engineering,MONTHLY,90,Textbooks,
44,Male,Coimbatore,Professional Level,Architecture,DAILY,45,Technical Articles,
29,Female,Kochi (Cochin),Master's Level,Mechanical Engineering,WEEKLY,60,Research Papers,
45,Male,Madurai,Professional Level,Legal Studies,DAILY,30,Textbooks,
32,Male,Tiruchirappalli (Trichy),Master's Level,Software Engineering,WEEKLY,15,Technical Articles,
47,Female,Bhubaneswar,Professional Level,Electrical Engineering,MONTHLY,45,Research Papers,
40,Male,Cuttack,Professional Level,Chemical Engineering,MONTHLY,60,Technical Articles,
19,Female,Jamshedpur,Undergraduate/Graduate Level,Civil Engineering,DAILY,30,Textbooks,
54,Female,Asansol,Professional Level,Medicine,DAILY,90,Research Papers,
23,Male,Durgapur,Undergraduate/Graduate Level,Computer Science/Engineering,WEEKLY,15,Technical Articles,
52,Male,Ranchi,Professional Level,Nursing,MONTHLY,45,Fiction Novels,
28,Female,Rajahmundry,Master's Level,Mechanical Engineering,DAILY,60,Textbooks,
48,Male,Tirupati,Professional Level,Electrical Engineering,WEEKLY,30,Technical Articles,
27,Female,Ujjain,Master's Level,Chemical Engineering,DAILY,60,News Articles,
55,Female,Bilaspur,Professional Level,Legal Studies,MONTHLY,45,Textbooks,
33,Male,Warangal,Master's Level,Civil Engineering,WEEKLY,15,Research Papers,
31,Female,Tirunelveli,Master's Level,Software Engineering,DAILY,30,Technical Articles,
42,Male,Salem,Professional Level,Medicine,MONTHLY,60,Blogs,
50,Female,Erode,Professional Level,Computer Science/Engineering,WEEKLY,45,Textbooks,
37,Male,Dehradun,Professional Level,Interior Design,DAILY,15,Technical Articles,
26,Female,Jammu,Master's Level,Mechanical Engineering,WEEKLY,90,Textbooks,
56,Male,Mangalore,Professional Level,Civil Engineering,MONTHLY,30,Technical Articles,
21,Female,Belgaum,Undergraduate/Graduate Level,Electrical Engineering,DAILY,60,Research Papers,
44,Male,Nellore,Professional Level,Architecture,WEEKLY,45,Textbooks,
36,Female,Guntur,Professional Level,Software Engineering,MONTHLY,30,Technical Articles,
53,Female,Kollam,Professional Level,Chemical Engineering,DAILY,60,Research Papers,
24,Male,Nanded,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,15,Technical Articles,
49,Male,Durg,Professional Level,Legal Studies,WEEKLY,45,Textbooks,
58,Female,Ajmer,Professional Level,Mechanical Engineering,MONTHLY,60,Research Papers,
35,Female,Gulbarga,Professional Level,Electrical Engineering,DAILY,30,Technical Articles,
46,Male,Bhagalpur,Professional Level,Medicine,WEEKLY,90,Research Papers,
22,Male,Karnal,Undergraduate/Graduate Level,Civil Engineering,DAILY,15,Textbooks,
51,Female,Saharanpur,Professional Level,Nursing,MONTHLY,30,Research Papers,
30,Male,Shimla,Master's Level,Chemical Engineering,WEEKLY,45,Technical Articles,
39,Female,Alwar,Professional Level,Mechanical Engineering,DAILY,60,Textbooks,
25,Female,Muzaffarpur,Master's Level,Software Engineering,MONTHLY,30,Technical Articles,
54,Male,Mathura,Professional Level,Legal Studies,DAILY,60,Research Papers,
32,Male,Rajpur Sonarpur,Master's Level,Electrical Engineering,WEEKLY,15,Technical Articles,
47,Female,Kamarhati,Professional Level,Civil Engineering,MONTHLY,45,Textbooks,
38,Male,Avadi,Professional Level,Computer Science/Engineering,DAILY,60,Research Papers,
29,Female,Tumkur,Master's Level,Medicine,WEEKLY,30,Technical Articles,
43,Male,Noida,Professional Level,Mechanical Engineering,DAILY,90,Fiction Novels,
20,Female,Kakinada,Undergraduate/Graduate Level,Software Engineering,MONTHLY,15,Textbooks,
40,Male,Nizamabad,Professional Level,Legal Studies,DAILY,30,Technical Articles,
55,Female,Parbhani,Professional Level,Civil Engineering,MONTHLY,60,News Articles,
27,Female,Latur,Master's Level,Chemical Engineering,WEEKLY,45,Textbooks,
41,Male,Ratlam,Professional Level,Electrical Engineering,DAILY,60,Research Papers,
34,Female,Panipat,Master's Level,Mechanical Engineering,WEEKLY,30,Technical Articles,
57,Male,Gandhinagar,Professional Level,Chemical Engineering,DAILY,15,Blogs,
23,Female,Bathinda,Undergraduate/Graduate Level,Civil Engineering,MONTHLY,45,Textbooks,
52,Male,Yamunanagar,Professional Level,Computer Science/Engineering,WEEKLY,60,Technical Articles,
56,Female,Pali,Professional Level,Legal Studies,DAILY,30,Textbooks,
48,Male,Rewa,Professional Level,Mechanical Engineering,MONTHLY,90,Technical Articles,
37,Female,Mathura,Professional Level,Software Engineering,DAILY,15,Research Papers,
26,Male,Palakkad,Master's Level,Electrical Engineering,WEEKLY,30,Textbooks,
49,Female,Satara,Professional Level,Medicine,MONTHLY,60,Technical Articles,
33,Male,Bijapur,Master's Level,Mechanical Engineering,DAILY,45,Research Papers,
31,Female,Kapurthala,Master's Level,Computer Science/Engineering,WEEKLY,60,Technical Articles,
45,Male,Bharatpur,Professional Level,Architecture,MONTHLY,30,Textbooks,
22,Female,Hoshiarpur,Undergraduate/Graduate Level,Civil Engineering,DAILY,15,Research Papers,
50,Female,Bilaspur,Professional Level,Electrical Engineering,MONTHLY,45,Technical Articles,
28,Male,Aligarh,Master's Level,Interior Design,DAILY,60,Research Papers,
54,Male,Raichur,Professional Level,Software Engineering,WEEKLY,30,Textbooks,
21,Female,Agartala,Undergraduate/Graduate Level,Nursing,MONTHLY,90,Research Papers,
58,Male,Bhilwara,Professional Level,Chemical Engineering,WEEKLY,15,Technical Articles,
36,Female,Udaipur,Professional Level,Electrical Engineering,DAILY,30,Textbooks,
46,Male,Korba,Professional Level,Mechanical Engineering,DAILY,60,Technical Articles,
39,Female,Nalgonda,Professional Level,Medicine,WEEKLY,45,Research Papers,
55,Male,Navi Mumbai,Professional Level,Legal Studies,MONTHLY,15,Technical Articles,
43,Female,Bhiwandi,Professional Level,Civil Engineering,MONTHLY,30,Textbooks,
24,Male,Amravati,Undergraduate/Graduate Level,Software Engineering,DAILY,60,Research Papers,
52,Female,Gandhinagar,Professional Level,Computer Science/Engineering,WEEKLY,45,Technical Articles,
27,Male,Dhanbad,Master's Level,Mechanical Engineering,DAILY,90,Textbooks,
51,Female,Bhavnagar,Professional Level,Electrical Engineering,WEEKLY,60,Technical Articles,
29,Male,Bikaner,Master's Level,Chemical Engineering,MONTHLY,30,Research Papers,
38,Female,Ambala,Professional Level,Civil Engineering,DAILY,45,Fiction Novels,
32,Male,Deoghar,Master's Level,Computer Science/Engineering,WEEKLY,15,Textbooks,
47,Female,Bellary,Professional Level,Legal Studies,DAILY,60,Technical Articles,
25,Male,Sultan Pur Majra,Master's Level,Mechanical Engineering,MONTHLY,45,News Articles,
37,Female,Tiruppur,Professional Level,Software Engineering,WEEKLY,30,Textbooks,
41,Male,Durgapur,Professional Level,Medicine,DAILY,60,Research Papers,
56,Female,Anantapur,Professional Level,Electrical Engineering,MONTHLY,45,Technical Articles,
30,Male,Udham Singh Nagar,Master's Level,Civil Engineering,DAILY,15,Blogs,
53,Female,Chandrapur,Professional Level,Nursing,WEEKLY,90,Textbooks,
34,Male,Vellore,Master's Level,Chemical Engineering,MONTHLY,30,Technical Articles,
58,Female,Dindigul,Professional Level,Architecture,DAILY,60,Textbooks,
44,Male,Kancheepuram,Professional Level,Mechanical Engineering,WEEKLY,45,Technical Articles,
23,Female,Gandhidham,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,15,Research Papers,
54,Male,Hospet,Professional Level,Electrical Engineering,DAILY,30,Textbooks,
20,Female,Nagercoil,Undergraduate/Graduate Level,Legal Studies,MONTHLY,60,Technical Articles,
49,Male,Karimnagar,Professional Level,Software Engineering,WEEKLY,45,Research Papers,
42,Female,Thanjavur,Professional Level,Civil Engineering,WEEKLY,90,Technical Articles,
35,Male,Pallavaram,Professional Level,Chemical Engineering,DAILY,60,Textbooks,
56,Female,Chittoor,Professional Level,Medicine,MONTHLY,30,Research Papers,
31,Male,Kumbakonam,Master's Level,Mechanical Engineering,WEEKLY,45,Technical Articles,
47,Female,Sambalpur,Professional Level,Electrical Engineering,DAILY,15,Research Papers,
29,Male,Katihar,Master's Level,Computer Science/Engineering,WEEKLY,60,Textbooks,
52,Female,Bardhaman,Professional Level,Interior Design,DAILY,45,Research Papers,
39,Male,Munger,Professional Level,Civil Engineering,MONTHLY,30,Technical Articles,
45,Female,Purnia,Professional Level,Legal Studies,DAILY,60,Textbooks,
28,Male,Hapur,Master's Level,Chemical Engineering,MONTHLY,15,Technical Articles,
36,Female,Mumbai,Professional Level,Software Engineering,WEEKLY,30,Research Papers,
30,Male,Amravati,Master's Level,Mechanical Engineering,DAILY,90,Technical Articles,
55,Female,Raipur ,Professional Level,Electrical Engineering,MONTHLY,45,Textbooks,
41,Male,Manali,Professional Level,Medicine,DAILY,60,Research Papers,
24,Female,Kota,Undergraduate/Graduate Level,Civil Engineering,WEEKLY,30,Technical Articles,
57,Male,Bhopal,Professional Level,Computer Science/Engineering,DAILY,15,Fiction Novels,
21,Female,Delhi,Undergraduate/Graduate Level,Architecture,WEEKLY,45,Textbooks,
37,Male,Patna,Professional Level,Mechanical Engineering,MONTHLY,60,Technical Articles,
32,Female,Solapur,Master's Level,Legal Studies,WEEKLY,30,News Articles,
48,Male,Allahabad,Professional Level,Software Engineering,DAILY,90,Textbooks,
25,Female,Srinagar,Master's Level,Electrical Engineering,DAILY,15,Research Papers,
50,Male,Jabalpur,Professional Level,Chemical Engineering,MONTHLY,45,Technical Articles,
22,Female,Dhanbad,Undergraduate/Graduate Level,Civil Engineering,WEEKLY,60,Blogs,
38,Male,Navi Mumbai,Professional Level,Medicine,DAILY,30,Textbooks,
58,Female,Varanasi,Professional Level,Computer Science/Engineering,WEEKLY,60,Technical Articles,
27,Male,Kolkata,Master's Level,Nursing,DAILY,45,Textbooks,
53,Female,Amritsar,Professional Level,Mechanical Engineering,MONTHLY,15,Technical Articles,
46,Male,Moradabad,Professional Level,Electrical Engineering,WEEKLY,30,Research Papers,
34,Female,Gwalior,Master's Level,Chemical Engineering,DAILY,60,Textbooks,
40,Male,Pimpri-Chinchwad,Professional Level,Legal Studies,WEEKLY,45,Technical Articles,
33,Female,Surat,Master's Level,Civil Engineering,MONTHLY,15,Research Papers,
51,Male,Ghaziabad,Professional Level,Software Engineering,DAILY,90,Technical Articles,
26,Female,Chandigarh,Master's Level,Medicine,WEEKLY,30,Textbooks,
44,Male,Nagpur,Professional Level,Computer Science/Engineering,MONTHLY,60,Research Papers,
23,Female,Ranchi,Undergraduate/Graduate Level,Interior Design,DAILY,45,Technical Articles,
42,Male,Meerut,Professional Level,Mechanical Engineering,DAILY,30,Research Papers,
31,Female,Kanpur,Master's Level,Civil Engineering,WEEKLY,60,Textbooks,
54,Male,Pune,Professional Level,Electrical Engineering,MONTHLY,15,Research Papers,
35,Female,Visakhapatnam,Professional Level,Architecture,MONTHLY,45,Technical Articles,
49,Male,Coimbatore,Professional Level,Software Engineering,DAILY,60,Textbooks,
20,Female,Kochi (Cochin),Undergraduate/Graduate Level,Chemical Engineering,WEEKLY,30,Technical Articles,
55,Male,Madurai,Professional Level,Computer Science/Engineering,DAILY,90,Research Papers,
30,Female,Tiruchirappalli (Trichy),Master's Level,Legal Studies,WEEKLY,15,Technical Articles,
52,Male,Bhubaneswar,Professional Level,Mechanical Engineering,MONTHLY,30,Textbooks,
28,Female,Cuttack,Master's Level,Electrical Engineering,DAILY,60,Research Papers,
47,Male,Jamshedpur,Professional Level,Medicine,WEEKLY,45,Technical Articles,
39,Female,Asansol,Professional Level,Civil Engineering,DAILY,60,Fiction Novels,
24,Male,Durgapur,Undergraduate/Graduate Level,Nursing,MONTHLY,30,Textbooks,
37,Female,Ranchi,Professional Level,Chemical Engineering,WEEKLY,15,Technical Articles,
22,Male,Rajahmundry,Undergraduate/Graduate Level,Mechanical Engineering,DAILY,45,News Articles,
50,Female,Tirupati,Professional Level,Software Engineering,MONTHLY,60,Textbooks,
41,Male,Ujjain,Professional Level,Legal Studies,DAILY,30,Research Papers,
25,Female,Bilaspur,Master's Level,Electrical Engineering,WEEKLY,90,Technical Articles,
56,Male,Warangal,Professional Level,Civil Engineering,MONTHLY,15,Blogs,
21,Female,Tirunelveli,Undergraduate/Graduate Level,Computer Science/Engineering,DAILY,30,Textbooks,
45,Male,Salem,Professional Level,Medicine,WEEKLY,60,Technical Articles,
29,Female,Erode,Master's Level,Mechanical Engineering,DAILY,45,Textbooks,
58,Male,Dehradun,Professional Level,Software Engineering,DAILY,60,Technical Articles,
43,Female,Jammu,Professional Level,Legal Studies,WEEKLY,30,Research Papers,
26,Male,Mangalore,Master's Level,Civil Engineering,MONTHLY,15,Textbooks,
32,Female,Belgaum,Master's Level,Chemical Engineering,MONTHLY,45,Technical Articles,
48,Male,Nellore,Professional Level,Electrical Engineering,DAILY,60,Research Papers,
33,Female,Guntur,Master's Level,Mechanical Engineering,WEEKLY,30,Technical Articles,
54,Male,Kollam,Professional Level,Nursing,DAILY,90,Textbooks,
38,Female,Nanded,Professional Level,Computer Science/Engineering,WEEKLY,15,Research Papers,
27,Male,Durg,Master's Level,Medicine,DAILY,30,Technical Articles,
51,Female,Ajmer,Professional Level,Civil Engineering,MONTHLY,60,Research Papers,
36,Male,Gulbarga,Professional Level,Architecture,DAILY,15,Textbooks,
53,Female,Bhagalpur,Professional Level,Software Engineering,WEEKLY,30,Research Papers,
40,Male,Karnal,Professional Level,Electrical Engineering,DAILY,60,Technical Articles,
22,Female,Saharanpur,Undergraduate/Graduate Level,Legal Studies,WEEKLY,45,Textbooks,
46,Male,Shimla,Professional Level,Mechanical Engineering,MONTHLY,90,Technical Articles,
34,Female,Alwar,Master's Level,Chemical Engineering,DAILY,45,Research Papers,
57,Male,Muzaffarpur,Professional Level,Civil Engineering,WEEKLY,30,Technical Articles,
31,Female,Mathura,Master's Level,Computer Science/Engineering,DAILY,60,Textbooks,
52,Male,Rajpur Sonarpur,Professional Level,Medicine,MONTHLY,15,Research Papers,
50,Female,Kamarhati,Professional Level,Electrical Engineering,DAILY,45,Technical Articles,
21,Male,Avadi,Undergraduate/Graduate Level,Software Engineering,WEEKLY,90,Textbooks,
55,Female,Tumkur,Professional Level,Mechanical Engineering,MONTHLY,15,Technical Articles,
23,Male,Noida,Undergraduate/Graduate Level,Interior Design,DAILY,30,Research Papers,
44,Female,Kakinada,Professional Level,Legal Studies,MONTHLY,60,Technical Articles,
29,Male,Nizamabad,Master's Level,Civil Engineering,DAILY,45,Textbooks,
49,Female,Parbhani,Professional Level,Nursing,WEEKLY,30,Research Papers,
25,Male,Latur,Master's Level,Chemical Engineering,MONTHLY,15,Technical Articles,
37,Female,Ratlam,Professional Level,Medicine,WEEKLY,90,Textbooks,
56,Male,Panipat,Professional Level,Computer Science/Engineering,DAILY,45,Technical Articles,
35,Female,Gandhinagar,Professional Level,Electrical Engineering,DAILY,60,Research Papers,
42,Male,Bathinda,Professional Level,Mechanical Engineering,WEEKLY,30,Fiction Novels,
26,Female,Yamunanagar,Master's Level,Software Engineering,MONTHLY,45,Textbooks,
47,Male,Pali,Professional Level,Civil Engineering,DAILY,90,Technical Articles,
58,Female,Rewa,Professional Level,Legal Studies,WEEKLY,15,News Articles,
41,Male,Mathura,Professional Level,Mechanical Engineering,DAILY,60,Textbooks,
27,Female,Palakkad,Master's Level,Chemical Engineering,MONTHLY,45,Research Papers,
48,Male,Satara,Professional Level,Electrical Engineering,WEEKLY,30,Technical Articles,
32,Female,Bijapur,Master's Level,Medicine,DAILY,15,Blogs,
38,Male,Kapurthala,Professional Level,Software Engineering,MONTHLY,60,Textbooks,
30,Female,Bharatpur,Master's Level,Civil Engineering,DAILY,90,Technical Articles,
45,Male,Hoshiarpur,Professional Level,Computer Science/Engineering,WEEKLY,45,Textbooks,
24,Female,Bilaspur,Undergraduate/Graduate Level,Nursing,MONTHLY,30,Technical Articles,
53,Male,Aligarh,Professional Level,Mechanical Engineering,DAILY,60,Research Papers,
39,Female,Raichur,Professional Level,Legal Studies,WEEKLY,15,Textbooks,
43,Male,Agartala,Professional Level,Electrical Engineering,DAILY,90,Technical Articles,
36,Female,Bhilwara,Professional Level,Civil Engineering,WEEKLY,45,Research Papers,
33,Male,Udaipur,Master's Level,Architecture,MONTHLY,30,Technical Articles,
51,Female,Korba,Professional Level,Chemical Engineering,MONTHLY,60,Textbooks,
28,Male,Nalgonda,Master's Level,Computer Science/Engineering,DAILY,15,Research Papers,
54,Female,Navi Mumbai,Professional Level,Medicine,DAILY,45,Technical Articles,
22,Male,Bhiwandi,Undergraduate/Graduate Level,Software Engineering,WEEKLY,90,Research Papers,
50,Female,Amravati,Professional Level,Mechanical Engineering,MONTHLY,30,Textbooks,
31,Male,Gandhinagar,Master's Level,Electrical Engineering,DAILY,60,Research Papers,
46,Female,Dhanbad,Professional Level,Legal Studies,WEEKLY,45,Technical Articles,
40,Male,Bhavnagar,Professional Level,Civil Engineering,DAILY,15,Textbooks,
57,Female,Bikaner,Professional Level,Nursing,MONTHLY,30,Technical Articles,
20,Male,Ambala,Undergraduate/Graduate Level,Chemical Engineering,WEEKLY,60,Research Papers,
25,Female,Deoghar,Master's Level,Mechanical Engineering,DAILY,90,Technical Articles,
55,Male,Bellary,Professional Level,Computer Science/Engineering,MONTHLY,15,Textbooks,
21,Female,Sultan Pur Majra,Undergraduate/Graduate Level,Medicine,DAILY,30,Research Papers,
47,Male,Tiruppur,Professional Level,Software Engineering,WEEKLY,45,Technical Articles,
34,Female,Durgapur,Master's Level,Civil Engineering,MONTHLY,60,Fiction Novels,
26,Male,Anantapur,Master's Level,Electrical Engineering,DAILY,15,Textbooks,
52,Female,Udham Singh Nagar,Professional Level,Legal Studies,WEEKLY,90,Technical Articles,
37,Male,Chandrapur,Professional Level,Architecture,DAILY,30,News Articles,
29,Female,Vellore,Master's Level,Computer Science/Engineering,MONTHLY,45,Textbooks,
48,Male,Dindigul,Professional Level,Mechanical Engineering,DAILY,60,Research Papers,
23,Female,Kancheepuram,Undergraduate/Graduate Level,Chemical Engineering,MONTHLY,15,Technical Articles,
58,Male,Gandhidham,Professional Level,Civil Engineering,WEEKLY,45,Blogs,
33,Female,Hospet,Master's Level,Medicine,DAILY,30,Textbooks,
44,Male,Nagercoil,Professional Level,Software Engineering,WEEKLY,60,Research Papers,
38,Female,Karimnagar,Professional Level,Electrical Engineering,DAILY,45,Fiction Novels,
28,Male,Thanjavur,Master's Level,Legal Studies,DAILY,15,Technical Articles,
54,Female,Pallavaram,Professional Level,Mechanical Engineering,WEEKLY,90,News Articles,
42,Male,Chittoor,Professional Level,Computer Science/Engineering,MONTHLY,30,Textbooks,
30,Female,Kumbakonam,Master's Level,Civil Engineering,DAILY,60,Technical Articles,
36,Male,Sambalpur,Professional Level,Nursing,MONTHLY,45,Research Papers,
51,Female,Katihar,Professional Level,Chemical Engineering,DAILY,15,Fiction Novels,
31,Male,Bardhaman,Master's Level,Electrical Engineering,WEEKLY,30,Technical Articles,
